loading data files...
Word vocab size: 10000, Char vocab size: 51
2017-03-09 21:29:45,895 Epoch[9] Batch [80]	Speed: 11.26 samples/sec	Train-Perplexity=565.025583
2017-03-09 21:33:37,459 Epoch[9] Batch [100]	Speed: 11.06 samples/sec	Train-Perplexity=570.702116
2017-03-09 21:37:24,383 Epoch[9] Batch [120]	Speed: 11.28 samples/sec	Train-Perplexity=552.534910
2017-03-09 21:41:14,683 Epoch[9] Batch [140]	Speed: 11.12 samples/sec	Train-Perplexity=550.337040
2017-03-09 21:45:04,494 Epoch[9] Batch [160]	Speed: 11.14 samples/sec	Train-Perplexity=546.363680
2017-03-09 21:48:53,694 Epoch[9] Batch [180]	Speed: 11.17 samples/sec	Train-Perplexity=530.934278
2017-03-09 21:52:44,528 Epoch[9] Batch [200]	Speed: 11.09 samples/sec	Train-Perplexity=533.639767
2017-03-09 21:53:53,716 Epoch[9] Resetting Data Iterator
2017-03-09 21:53:53,716 Epoch[9] Time cost=2357.814
2017-03-09 21:55:05,047 Epoch[9] Validation-Perplexity=9479.927019
2017-03-09 21:58:48,404 Epoch[10] Batch [20]	Speed: 11.68 samples/sec	Train-Perplexity=538.410091
2017-03-09 22:02:43,808 Epoch[10] Batch [40]	Speed: 10.87 samples/sec	Train-Perplexity=539.763013
2017-03-09 22:06:32,470 Epoch[10] Batch [60]	Speed: 11.20 samples/sec	Train-Perplexity=532.735615
2017-03-09 22:10:23,875 Epoch[10] Batch [80]	Speed: 11.06 samples/sec	Train-Perplexity=534.919780
2017-03-09 22:14:15,823 Epoch[10] Batch [100]	Speed: 11.04 samples/sec	Train-Perplexity=539.270477
2017-03-09 22:18:05,816 Epoch[10] Batch [120]	Speed: 11.13 samples/sec	Train-Perplexity=525.746245
2017-03-09 22:21:54,616 Epoch[10] Batch [140]	Speed: 11.19 samples/sec	Train-Perplexity=522.207177
2017-03-09 22:25:46,261 Epoch[10] Batch [160]	Speed: 11.05 samples/sec	Train-Perplexity=519.246145
2017-03-09 22:29:35,458 Epoch[10] Batch [180]	Speed: 11.17 samples/sec	Train-Perplexity=503.829651
2017-03-09 22:33:22,980 Epoch[10] Batch [200]	Speed: 11.25 samples/sec	Train-Perplexity=508.172236
2017-03-09 22:34:31,362 Epoch[10] Resetting Data Iterator
2017-03-09 22:34:31,363 Epoch[10] Time cost=2366.316
2017-03-09 22:35:43,579 Epoch[10] Validation-Perplexity=7099.433781
2017-03-09 22:39:23,937 Epoch[11] Batch [20]	Speed: 11.84 samples/sec	Train-Perplexity=512.561113
2017-03-09 22:43:16,284 Epoch[11] Batch [40]	Speed: 11.02 samples/sec	Train-Perplexity=515.097478
2017-03-09 22:47:07,240 Epoch[11] Batch [60]	Speed: 11.08 samples/sec	Train-Perplexity=508.090636
2017-03-09 22:50:56,473 Epoch[11] Batch [80]	Speed: 11.17 samples/sec	Train-Perplexity=511.322130
2017-03-09 22:54:45,807 Epoch[11] Batch [100]	Speed: 11.16 samples/sec	Train-Perplexity=516.183490
2017-03-09 22:58:34,933 Epoch[11] Batch [120]	Speed: 11.17 samples/sec	Train-Perplexity=502.075166
2017-03-09 23:02:24,111 Epoch[11] Batch [140]	Speed: 11.17 samples/sec	Train-Perplexity=498.554096
2017-03-09 23:06:13,613 Epoch[11] Batch [160]	Speed: 11.15 samples/sec	Train-Perplexity=495.874651
2017-03-09 23:10:02,051 Epoch[11] Batch [180]	Speed: 11.21 samples/sec	Train-Perplexity=480.646550
2017-03-09 23:13:51,358 Epoch[11] Batch [200]	Speed: 11.16 samples/sec	Train-Perplexity=791.882833
2017-03-09 23:14:59,791 Epoch[11] Resetting Data Iterator
2017-03-09 23:14:59,792 Epoch[11] Time cost=2356.213
2017-03-09 23:16:12,608 Epoch[11] Validation-Perplexity=1050.817337
2017-03-09 23:19:54,417 Epoch[12] Batch [20]	Speed: 11.76 samples/sec	Train-Perplexity=702.466228
2017-03-09 23:23:45,651 Epoch[12] Batch [40]	Speed: 11.07 samples/sec	Train-Perplexity=686.890361
2017-03-09 23:27:34,758 Epoch[12] Batch [60]	Speed: 11.17 samples/sec	Train-Perplexity=659.912638
2017-03-09 23:31:22,158 Epoch[12] Batch [80]	Speed: 11.26 samples/sec	Train-Perplexity=644.243707
2017-03-09 23:35:10,072 Epoch[12] Batch [100]	Speed: 11.23 samples/sec	Train-Perplexity=638.383567
2017-03-09 23:38:56,875 Epoch[12] Batch [120]	Speed: 11.29 samples/sec	Train-Perplexity=610.499036
2017-03-09 23:42:49,951 Epoch[12] Batch [140]	Speed: 10.98 samples/sec	Train-Perplexity=600.756320
2017-03-09 23:46:41,305 Epoch[12] Batch [160]	Speed: 11.07 samples/sec	Train-Perplexity=588.665018
2017-03-09 23:50:35,998 Epoch[12] Batch [180]	Speed: 10.91 samples/sec	Train-Perplexity=569.914586
2017-03-09 23:54:27,936 Epoch[12] Batch [200]	Speed: 11.04 samples/sec	Train-Perplexity=565.905039
2017-03-09 23:55:36,301 Epoch[12] Resetting Data Iterator
2017-03-09 23:55:36,301 Epoch[12] Time cost=2363.693
2017-03-09 23:56:54,676 Epoch[12] Validation-Perplexity=1050.917880
2017-03-10 00:00:38,533 Epoch[13] Batch [20]	Speed: 11.65 samples/sec	Train-Perplexity=562.712942
2017-03-10 00:04:27,175 Epoch[13] Batch [40]	Speed: 11.20 samples/sec	Train-Perplexity=712.949156
2017-03-10 00:08:14,266 Epoch[13] Batch [60]	Speed: 11.27 samples/sec	Train-Perplexity=681.713333
2017-03-10 00:12:06,299 Epoch[13] Batch [80]	Speed: 11.03 samples/sec	Train-Perplexity=654.415229
2017-03-10 00:15:53,525 Epoch[13] Batch [100]	Speed: 11.27 samples/sec	Train-Perplexity=645.157692
2017-03-10 00:19:45,252 Epoch[13] Batch [120]	Speed: 11.05 samples/sec	Train-Perplexity=607.422166
2017-03-10 00:23:33,625 Epoch[13] Batch [140]	Speed: 11.21 samples/sec	Train-Perplexity=598.662909
2017-03-10 00:27:27,973 Epoch[13] Batch [160]	Speed: 10.92 samples/sec	Train-Perplexity=585.876726
2017-03-10 00:31:16,232 Epoch[13] Batch [180]	Speed: 11.22 samples/sec	Train-Perplexity=563.689201
2017-03-10 00:35:08,251 Epoch[13] Batch [200]	Speed: 11.03 samples/sec	Train-Perplexity=575.254274
2017-03-10 00:36:17,278 Epoch[13] Resetting Data Iterator
2017-03-10 00:36:17,278 Epoch[13] Time cost=2362.602
2017-03-10 00:37:25,884 Epoch[13] Validation-Perplexity=1470.312199
2017-03-10 00:41:07,224 Epoch[14] Batch [20]	Speed: 11.79 samples/sec	Train-Perplexity=572.869099
2017-03-10 00:44:56,367 Epoch[14] Batch [40]	Speed: 11.17 samples/sec	Train-Perplexity=566.775120
2017-03-10 00:48:45,709 Epoch[14] Batch [60]	Speed: 11.16 samples/sec	Train-Perplexity=562.632922
2017-03-10 00:52:34,939 Epoch[14] Batch [80]	Speed: 11.17 samples/sec	Train-Perplexity=564.086370
2017-03-10 00:56:24,068 Epoch[14] Batch [100]	Speed: 11.17 samples/sec	Train-Perplexity=563.318091
2017-03-10 01:00:13,476 Epoch[14] Batch [120]	Speed: 11.16 samples/sec	Train-Perplexity=543.288659
2017-03-10 01:04:01,351 Epoch[14] Batch [140]	Speed: 11.23 samples/sec	Train-Perplexity=539.490831
2017-03-10 01:07:52,380 Epoch[14] Batch [160]	Speed: 11.08 samples/sec	Train-Perplexity=534.686467
2017-03-10 01:11:42,554 Epoch[14] Batch [180]	Speed: 11.12 samples/sec	Train-Perplexity=518.160854
2017-03-10 01:15:42,090 Epoch[14] Batch [200]	Speed: 10.69 samples/sec	Train-Perplexity=521.066169
2017-03-10 01:16:50,625 Epoch[14] Resetting Data Iterator
2017-03-10 01:16:50,626 Epoch[14] Time cost=2364.742
2017-03-10 01:18:03,868 Epoch[14] Validation-Perplexity=1263.596471
2017-03-10 01:21:47,396 Epoch[15] Batch [20]	Speed: 11.68 samples/sec	Train-Perplexity=527.063299
2017-03-10 01:25:40,046 Epoch[15] Batch [40]	Speed: 11.00 samples/sec	Train-Perplexity=529.012141
2017-03-10 01:29:28,415 Epoch[15] Batch [60]	Speed: 11.21 samples/sec	Train-Perplexity=521.204251
2017-03-10 01:33:19,789 Epoch[15] Batch [80]	Speed: 11.06 samples/sec	Train-Perplexity=522.093601
2017-03-10 01:37:11,586 Epoch[15] Batch [100]	Speed: 11.04 samples/sec	Train-Perplexity=527.270498
2017-03-10 01:41:00,654 Epoch[15] Batch [120]	Speed: 11.18 samples/sec	Train-Perplexity=511.388786
2017-03-10 01:44:52,489 Epoch[15] Batch [140]	Speed: 11.04 samples/sec	Train-Perplexity=508.105784
2017-03-10 01:48:52,645 Epoch[15] Batch [160]	Speed: 10.66 samples/sec	Train-Perplexity=505.082127
2017-03-10 01:52:40,889 Epoch[15] Batch [180]	Speed: 11.22 samples/sec	Train-Perplexity=489.600634
2017-03-10 01:56:29,383 Epoch[15] Batch [200]	Speed: 11.20 samples/sec	Train-Perplexity=494.248622
2017-03-10 01:57:37,203 Epoch[15] Resetting Data Iterator
2017-03-10 01:57:37,204 Epoch[15] Time cost=2373.336
2017-03-10 01:58:53,022 Epoch[15] Validation-Perplexity=758.629339
2017-03-10 02:02:34,669 Epoch[16] Batch [20]	Speed: 11.79 samples/sec	Train-Perplexity=500.699472
2017-03-10 02:06:26,050 Epoch[16] Batch [40]	Speed: 11.06 samples/sec	Train-Perplexity=503.491514
2017-03-10 02:10:13,304 Epoch[16] Batch [60]	Speed: 11.26 samples/sec	Train-Perplexity=496.168650
2017-03-10 02:14:08,651 Epoch[16] Batch [80]	Speed: 10.88 samples/sec	Train-Perplexity=498.517506
2017-03-10 02:18:00,394 Epoch[16] Batch [100]	Speed: 11.05 samples/sec	Train-Perplexity=503.611896
2017-03-10 02:21:50,943 Epoch[16] Batch [120]	Speed: 11.10 samples/sec	Train-Perplexity=488.465371
2017-03-10 02:25:42,830 Epoch[16] Batch [140]	Speed: 11.04 samples/sec	Train-Perplexity=484.591521
2017-03-10 02:29:32,199 Epoch[16] Batch [160]	Speed: 11.16 samples/sec	Train-Perplexity=483.207267
2017-03-10 02:33:23,592 Epoch[16] Batch [180]	Speed: 11.06 samples/sec	Train-Perplexity=468.330709
2017-03-10 02:37:11,502 Epoch[16] Batch [200]	Speed: 11.23 samples/sec	Train-Perplexity=472.644226
2017-03-10 02:38:19,597 Epoch[16] Resetting Data Iterator
2017-03-10 02:38:19,597 Epoch[16] Time cost=2366.574
2017-03-10 02:39:30,999 Epoch[16] Validation-Perplexity=544.836875
2017-03-10 02:43:22,634 Epoch[17] Batch [20]	Speed: 11.27 samples/sec	Train-Perplexity=479.161230
2017-03-10 02:47:10,325 Epoch[17] Batch [40]	Speed: 11.24 samples/sec	Train-Perplexity=482.035896
2017-03-10 02:51:06,240 Epoch[17] Batch [60]	Speed: 10.85 samples/sec	Train-Perplexity=475.704712
2017-03-10 02:54:53,733 Epoch[17] Batch [80]	Speed: 11.25 samples/sec	Train-Perplexity=479.159918
2017-03-10 02:58:41,469 Epoch[17] Batch [100]	Speed: 11.24 samples/sec	Train-Perplexity=483.733714
2017-03-10 03:02:30,377 Epoch[17] Batch [120]	Speed: 11.18 samples/sec	Train-Perplexity=468.904790
2017-03-10 03:06:19,543 Epoch[17] Batch [140]	Speed: 11.17 samples/sec	Train-Perplexity=465.285998
2017-03-10 03:10:07,430 Epoch[17] Batch [160]	Speed: 11.23 samples/sec	Train-Perplexity=465.190887
2017-03-10 03:13:56,432 Epoch[17] Batch [180]	Speed: 11.18 samples/sec	Train-Perplexity=450.859062
2017-03-10 03:17:46,290 Epoch[17] Batch [200]	Speed: 11.14 samples/sec	Train-Perplexity=455.847292
2017-03-10 03:18:54,802 Epoch[17] Resetting Data Iterator
2017-03-10 03:18:54,802 Epoch[17] Time cost=2363.803
2017-03-10 03:20:05,244 Epoch[17] Validation-Perplexity=505.708882
2017-03-10 03:23:52,214 Epoch[18] Batch [20]	Speed: 11.50 samples/sec	Train-Perplexity=462.088230
2017-03-10 03:27:43,441 Epoch[18] Batch [40]	Speed: 11.07 samples/sec	Train-Perplexity=466.457875
2017-03-10 03:31:37,004 Epoch[18] Batch [60]	Speed: 10.96 samples/sec	Train-Perplexity=459.533424
2017-03-10 03:35:27,233 Epoch[18] Batch [80]	Speed: 11.12 samples/sec	Train-Perplexity=462.952286
2017-03-10 03:39:18,096 Epoch[18] Batch [100]	Speed: 11.09 samples/sec	Train-Perplexity=466.628421
2017-03-10 03:43:07,812 Epoch[18] Batch [120]	Speed: 11.14 samples/sec	Train-Perplexity=454.139371
2017-03-10 03:47:01,131 Epoch[18] Batch [140]	Speed: 10.97 samples/sec	Train-Perplexity=450.481153
2017-03-10 03:50:51,650 Epoch[18] Batch [160]	Speed: 11.11 samples/sec	Train-Perplexity=452.290781
2017-03-10 03:54:40,455 Epoch[18] Batch [180]	Speed: 11.19 samples/sec	Train-Perplexity=436.718904
2017-03-10 03:58:27,911 Epoch[18] Batch [200]	Speed: 11.25 samples/sec	Train-Perplexity=442.745086
2017-03-10 03:59:37,390 Epoch[18] Resetting Data Iterator
2017-03-10 03:59:37,391 Epoch[18] Time cost=2372.147
2017-03-10 04:00:46,572 Epoch[18] Validation-Perplexity=473.221154
2017-03-10 04:04:28,531 Epoch[19] Batch [20]	Speed: 11.76 samples/sec	Train-Perplexity=448.998706
2017-03-10 04:08:19,198 Epoch[19] Batch [40]	Speed: 11.10 samples/sec	Train-Perplexity=453.338757
2017-03-10 04:12:07,214 Epoch[19] Batch [60]	Speed: 11.23 samples/sec	Train-Perplexity=446.266891
2017-03-10 04:16:00,153 Epoch[19] Batch [80]	Speed: 10.99 samples/sec	Train-Perplexity=449.790322
2017-03-10 04:19:51,915 Epoch[19] Batch [100]	Speed: 11.05 samples/sec	Train-Perplexity=453.160170
2017-03-10 04:23:40,938 Epoch[19] Batch [120]	Speed: 11.18 samples/sec	Train-Perplexity=441.681345
2017-03-10 04:27:32,395 Epoch[19] Batch [140]	Speed: 11.06 samples/sec	Train-Perplexity=437.607540
2017-03-10 04:31:22,850 Epoch[19] Batch [160]	Speed: 11.11 samples/sec	Train-Perplexity=439.496185
2017-03-10 04:35:11,013 Epoch[19] Batch [180]	Speed: 11.22 samples/sec	Train-Perplexity=424.741931
2017-03-10 04:38:59,017 Epoch[19] Batch [200]	Speed: 11.23 samples/sec	Train-Perplexity=430.875906
2017-03-10 04:40:07,845 Epoch[19] Resetting Data Iterator
2017-03-10 04:40:07,846 Epoch[19] Time cost=2361.273
2017-03-10 04:41:17,732 Epoch[19] Validation-Perplexity=447.658955
